No.,Symbol,Name,% Weight,Shares,Snapshot_Date
1,NVDA,NVIDIA Corporation,16.37%,515769,2026-06-19
2,AAPL,Apple Inc.,14.31%,311640,2026-06-19
3,GOOGL,Alphabet Inc.,7.02%,124362,2026-06-19
4,GOOG,Alphabet Inc.,5.63%,100187,2026-06-19
5,MSFT,Microsoft Corporation,5.33%,90646,2026-06-19
6,MU,"Micron Technology, Inc.",5.29%,32712,2026-06-19
7,AVGO,Broadcom Inc.,4.73%,77578,2026-06-19
8,AMZN,"Amazon.com, Inc.",4.59%,124626,2026-06-19
9,BRK.B,Berkshire Hathaway Inc.,4.06%,53330,2026-06-19
10,JPM,JPMorgan Chase & Co.,4.06%,78500,2026-06-19
11,TSLA,"Tesla, Inc.",3.99%,64952,2026-06-19
12,LLY,Eli Lilly and Company,3.98%,23070,2026-06-19
13,META,"Meta Platforms, Inc.",3.56%,40435,2026-06-19
14,XOM,Exxon Mobil Corporation,2.66%,121672,2026-06-19
15,JNJ,Johnson & Johnson,2.55%,70225,2026-06-19
16,V,Visa Inc.,2.51%,48962,2026-06-19
17,WMT,Walmart Inc.,2.34%,127618,2026-06-19
18,COST,Costco Wholesale Corporation,1.93%,12899,2026-06-19
19,MA,Mastercard Incorporated,1.81%,23687,2026-06-19
20,ABBV,AbbVie Inc.,1.76%,51394,2026-06-19
